12345B
something,else,happening
767767
,0.999265551 0.042500048,0.999444603 0.042541284,0.999125540 0.043153569,0.999231100 0.043976489,0.999422729 0.044612478,0.999313056 0.045704990,0.999157607 0.046518582,0.999589800 0.047278597,0.999192774 0.048033356,0.998996496 0.049426823,0.999034821 0.049742177,0.998715102 0.050605483,0.999219834 0.051364276,0.998689115 0.052858687,0.999145269 0.053424455,0.998905003 0.053852617,0.998801648 0.054678879,0.998448371 0.056100945,0.998652756 0.057248637,0.998111963 0.057821165,0.998397111 0.058541290,0.997988343 0.059483814,0.997911930 0.060441490,0.997786521 0.060932353,0.997468113 0.061353839,0.997684419 0.062589511,0.997799098 0.063402377,0.997471630 0.063882797,0.997372090 0.064836278,0.997482120 0.065372712,0.997461736 0.066342294,0.997496008 0.067330159,0.997382462 0.067886285,0.997569382 0.068655572,0.998050570 0.069356851,0.997629404 0.070294566,0.997523248 0.070970386,0.997756063 0.072113163,0.997717916 0.072575569,0.997616887 0.073930606,0.997758626 0.074575595,0.997735857 0.075042054,0.997543096 0.076516337,0.997529983 0.077303208,0.997460424 0.078104317,0.997431457 0.078707166,0.997390568 0.079643987,0.996992349 0.080512747,0.996876478 0.081700861,0.997029066 0.082574762,0.996813714 0.083418563,0.996987521 0.083711355,0.996941804 0.084850333,0.996493577 0.085753060,0.996591150 0.086899846,0.996799767 0.087275594,0.996497035 0.088173061,0.996440112 0.089051663,0.996081590 0.089934870,0.995531022 0.090664118,0.995998799 0.091691233,0.995789885 0.092507705,0.995913565 0.093341246,0.996095597 0.093799695,0.995796144 0.094581432,0.995443165 0.095478557,0.995365619 0.096827119,0.995503842 0.097310915,0.995514333 0.098192401,0.995094180 0.098994843,0.994916915 0.099998779,0.994646906 0.100676938,0.994772017 0.101297967,0.994846940 0.101962834,0.995139062 0.102328099,0.994725763 0.103586986,0.994681417 0.104348860,0.994620084 0.105052575,0.994874954 0.106081090,0.994638323 0.106892392,0.994752705 0.107729420,0.994334816 0.108224265,0.994356274 0.109281994,0.994701027 0.110236860,0.993891358 0.111184619,0.994010984 0.112170942,0.994206368 0.112936221,0.993977427 0.113886274,0.994020044 0.114727616,0.994060158 0.115646414,0.993793487 0.116242475,0.993574202 0.117904707,0.993139564 0.118480369,0.993008434 0.118889510,0.993053138 0.119765959,0.993034303 0.120577186,0.992796182 0.121394000,0.992362320 0.122231319,0.992340445 0.122704371,0.991846799 0.123557083,0.991784512 0.124471388
