Batch No,Serial Number,Batch Type,Batch Qty,Username,Probe length (tdr),NanoVNA marker3, ODM PV,Date and Time Tested
1112C,,DP240,10,brian,,,2022-07-26 09:51:31
1112C, ,DP240,10,brian, , , ,2022-07-26 09:55:45
